id,name,position,overall,nation,list_positon
229261,Denis Lemi Zakaria Lako Lado,"CDM, CB",80.0,Switzerland,CDM
234913,Christian Fassnacht,"RM, LM, CAM",75.0,Switzerland,CAM
229237,Manuel Obafemi Akanji,CB,80.0,Switzerland,CB
0,placeholders,,76.46666666666667,Switzerland,ST
216158,Silvan Dominic Widmer,RB,75.0,Switzerland,RB
242530,Noah Arinzechukwu Okafor,"RM, LM, CAM",71.0,Switzerland,CAM
229752,Djibril Sow,"CM, CDM",77.0,Switzerland,CDM
0,placeholders,,76.46666666666667,Switzerland,CAM
177683,Yann Sommer,GK,85.0,Switzerland,GK
0,placeholders,,76.46666666666667,Switzerland,LB
0,placeholders,,76.46666666666667,Switzerland,CB
